product_id,cost,price,competitor_price,demand,volume,margin,region,category
P001,45.2,89.9,85.0,320,285,44.7,华东,电子产品
P002,32.8,69.9,72.0,450,410,37.1,华北,家居用品
P003,78.5,159.9,149.0,180,165,81.4,华南,电子产品
P004,15.6,35.9,38.0,890,820,20.3,华东,食品饮料
P005,56.3,119.9,115.0,250,230,63.6,华北,服装鞋帽
P006,22.1,49.9,52.0,670,625,27.8,华南,食品饮料
P007,89.2,189.9,195.0,120,108,100.7,华东,电子产品
P008,38.7,79.9,75.0,380,345,41.2,华北,家居用品
P009,12.5,29.9,28.0,950,910,17.4,华南,食品饮料
P010,65.4,139.9,145.0,200,185,74.5,华东,服装鞋帽
P011,48.9,99.9,95.0,300,275,51.0,华北,电子产品
P012,28.3,59.9,62.0,520,490,31.6,华南,家居用品
P013,72.1,149.9,155.0,160,145,77.8,华东,电子产品
P014,18.9,39.9,42.0,780,740,21.0,华北,食品饮料
P015,55.7,115.9,110.0,270,250,60.2,华南,服装鞋帽
P016,41.5,85.9,88.0,350,320,44.4,华东,家居用品
P017,83.6,175.9,169.0,140,128,92.3,华北,电子产品
P018,25.4,55.9,58.0,600,565,30.5,华南,食品饮料
P019,68.3,145.9,140.0,190,172,77.6,华东,服装鞋帽
P020,35.2,74.9,78.0,420,390,39.7,华北,家居用品
P021,92.1,199.9,205.0,100,92,107.8,华南,电子产品
P022,20.8,44.9,46.0,720,685,24.1,华东,食品饮料
P023,58.9,125.9,120.0,230,215,67.0,华北,服装鞋帽
P024,44.6,94.9,98.0,330,305,50.3,华南,电子产品
P025,30.1,64.9,62.0,480,455,34.8,华东,家居用品
P026,76.8,162.9,158.0,150,138,86.1,华北,电子产品
P027,16.3,34.9,36.0,860,825,18.6,华南,食品饮料
P028,62.5,132.9,135.0,210,195,70.4,华东,服装鞋帽
P029,40.2,84.9,82.0,360,335,44.7,华北,家居用品
P030,86.4,182.9,178.0,130,118,96.5,华南,电子产品
P031,23.7,52.9,55.0,580,545,29.2,华东,食品饮料
P032,53.8,112.9,108.0,280,260,59.1,华北,服装鞋帽
P033,47.3,97.9,100.0,310,290,50.6,华南,电子产品
P034,34.6,72.9,70.0,400,375,38.3,华东,家居用品
P035,79.9,168.9,172.0,145,132,89.0,华北,电子产品
P036,19.5,42.9,44.0,750,715,23.4,华南,食品饮料
P037,60.2,128.9,125.0,220,205,68.7,华东,服装鞋帽
P038,43.1,90.9,93.0,340,318,47.8,华北,家居用品
P039,88.7,188.9,185.0,115,105,100.2,华南,电子产品
P040,27.6,58.9,56.0,510,480,31.3,华东,食品饮料
P041,66.9,141.9,138.0,175,162,75.0,华北,服装鞋帽
P042,37.4,78.9,82.0,390,365,41.5,华南,电子产品
P043,50.5,106.9,104.0,290,270,56.4,华东,家居用品
P044,82.3,174.9,170.0,135,124,92.6,华北,电子产品
P045,21.9,47.9,50.0,700,665,26.0,华南,食品饮料
P046,57.6,122.9,118.0,240,222,65.3,华东,服装鞋帽
P047,46.2,96.9,99.0,320,298,50.7,华北,电子产品
P048,33.9,70.9,68.0,430,405,37.0,华南,家居用品
P049,74.5,158.9,162.0,155,142,84.4,华东,电子产品
P050,26.8,57.9,60.0,540,510,31.1,华北,食品饮料
